id,name,party,sector,country
lk,Lars Klingbeil,SPD,Politik,Deutschland
uv,Ursula von der Leyen,CDU,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,linke,Politik,Deutschland
cs,Constanze Stelzenmüller,,Wissenschaften,USA
cli,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Wissenschaften,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaften,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,,Politik,Deutschland
ft,Frans Timmermans,,Politik,Deutschland
am,Andrij Melnyk,,Politik,Ukraine
al,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Bundeswehr,Deutschland
500,,,,
501,,,,
502,,,,
FDP,,,,
grüne,,,,
linke,,,,
CDU,,,,
