id,name,party,sector,country
lk,Lars Klingbeil,SPD,Politik,Deutschland
uv,Ursula von der Leyen,CDU,Politik,Deutschland
nr,Norbert Roettgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,LINKE,Politik,Deutschland
cs,Constanze Stelzenmueller,,Wissenschaften,USA
cli,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schloegel,,Wissenschaften,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaften,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,GRUENE,Politik,Deutschland
ft,Frans Timmermans,,Politik,Deutschland
am,Andrij Melnyk,,Politik,Ukraine
al,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Bundeswehr,Deutschland
500,Folge500,,,,
501,Folge501,,,,
502,Folge502,,,,
FDP,,,,
GRUENE,,,,
LINKE,,,,
CDU,,,,
